rev_cnt;start_date;end_date;year_rev
1;20.3.2000;15.9.2000;2000_R1
2;18.9.2000;16.3.2001;2000_R2
3;19.3.2001;21.9.2001;2001_R1
4;24.9.2001;15.3.2002;2001_R2
5;18.3.2002;20.9.2002;2002_R1
6;23.9.2002;21.3.2003;2002_R2
7;24.3.2003;19.9.2003;2003_R1
8;22.9.2003;19.3.2004;2003_R2
9;22.3.2004;17.9.2004;2004_R1
10;20.9.2004;18.3.2005;2004_R2
11;21.3.2005;16.9.2005;2005_R1
12;19.9.2005;17.3.2006;2005_R2
13;20.3.2006;15.9.2006;2006_R1
14;18.9.2006;16.3.2007;2006_R2
15;19.3.2007;21.9.2007;2007_R1
16;24.9.2007;21.3.2008;2007_R2
17;24.3.2008;19.9.2008;2008_R1
18;22.9.2008;20.3.2009;2008_R2
19;23.3.2009;18.9.2009;2009_R1
20;21.9.2009;19.3.2010;2009_R2
21;22.3.2010;17.9.2010;2010_R1
22;20.9.2010;18.3.2011;2010_R2
23;21.3.2011;16.9.2011;2011_R1
24;19.9.2011;16.3.2012;2011_R2
25;19.3.2012;21.9.2012;2012_R1
26;24.9.2012;15.3.2013;2012_R2
27;18.3.2013;20.9.2013;2013_R1
28;23.9.2013;21.3.2014;2013_R2
29;24.3.2014;19.9.2014;2014_R1
30;22.9.2014;20.3.2015;2014_R2
31;23.3.2015;18.9.2015;2015_R1
32;21.9.2015;18.3.2016;2015_R2
33;21.3.2016;16.9.2016;2016_R1
34;19.9.2016;17.3.2017;2016_R2
35;20.3.2017;15.9.2017;2017_R1
36;18.9.2017;16.3.2018;2017_R2
37;19.3.2018;21.9.2018;2018_R1
38;24.9.2018;15.3.2019;2018_R2
39;18.3.2019;20.9.2019;2019_R1
40;23.9.2019;20.3.2020;2019_R2
41;23.3.2020;18.9.2020;2020_R1
42;21.9.2020;19.3.2021;2020_R2
43;22.3.2021;17.9.2021;2021_R1
44;20.9.2021;18.3.2022;2021_R2
45;21.3.2022;16.9.2022;2022_R1
46;19.9.2022;17.3.2023;2022_R2
47;20.3.2023;15.9.2023;2023_R1
48;18.9.2023;15.3.2024;2023_R2
49;18.3.2024;20.9.2024;2024_R1
50;23.9.2024;21.3.2025;2024_R2
51;24.3.2025;19.9.2025;2025_R1
52;22.9.2025;20.3.2026;2025_R2
53;23.3.2026;18.9.2026;2026_R1
